task,model,building_id,source_area,context_tolerance_m,paired_point_rmse_m,hausdorff_distance_m,relative_area_error_pct,source_is_valid,target_is_valid,prediction_is_valid
Fixed 2 m target,Identity baseline,2556,wedding,,0.6197534588134932,0.954550593974716,1.6843302974990693,True,True,True
Fixed 2 m target,Identity baseline,2557,wedding,,1.4879788543357986,1.2893912353012835,0.8519331241224696,True,True,True
Fixed 2 m target,Identity baseline,2558,wedding,,0.4248304561804662,0.9999998910352588,4.97117803028103,True,True,True
Fixed 2 m target,Identity baseline,2559,wedding,,0.19833599890360054,0.5000000651925802,2.1800644026069422,True,True,True
Fixed 2 m target,Identity baseline,2560,wedding,,0.6056325609516608,0.8540048958038157,2.7351153866341185,True,True,True
Fixed 2 m target,Identity baseline,2561,wedding,,0.7555336818776437,1.6145656906997337,7.625027209190133,True,True,True
Fixed 2 m target,Identity baseline,2562,wedding,,0.5581974868542012,1.1127381037813797,2.4520356390092264,True,True,True
Fixed 2 m target,Identity baseline,2563,wedding,,1.1525356734544427,1.5094919312525221,2.2340599433371073,True,True,True
Fixed 2 m target,Identity baseline,2564,wedding,,0.4965087934837236,1.7647161000511948,3.110441865157105,True,True,True
Fixed 2 m target,Identity baseline,2565,wedding,,0.7800381529119815,1.2185732381430296,0.23514456601397365,True,True,True
Fixed 2 m target,Identity baseline,2566,wedding,,0.9282748984873561,1.1180338987338188,1.8219010536943798,True,True,True
Fixed 2 m target,Identity baseline,2567,wedding,,0.46249077224765933,1.079653839068716,2.227877768048364,True,True,True
Fixed 2 m target,Identity baseline,2568,wedding,,0.62850579877467,1.5322063350848627,2.632304957018156,True,True,True
Fixed 2 m target,Identity baseline,2569,wedding,,0.826944997999297,1.3171046171363328,4.804869939184856,True,True,True
Fixed 2 m target,Identity baseline,2570,wedding,,0.0,0.0,0.0,True,True,True
Fixed 2 m target,Identity baseline,2571,wedding,,0.7347073859141476,1.4999999795109034,5.299121383085728,True,True,True
Fixed 2 m target,Identity baseline,2572,wedding,,0.3725096870439334,0.48384395798045043,1.0588903717261897,True,True,True
Fixed 2 m target,Identity baseline,2573,wedding,,0.8552993109545041,1.4697176712707578,1.8304265634200239,True,True,True
Fixed 2 m target,Identity baseline,2574,wedding,,0.7122027264899574,1.4708714741502558,3.1341763996676764,True,True,True
